epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,690.726,1.04179,2.25865,1.32439,0.64165,0.33206,0.31844,0.23087,0.83767,1.03726,1.2173,0.00333179,0.00333179,0.00333179
2,1376.23,1.01108,1.48244,1.29067,0.69747,0.33517,0.34018,0.23702,0.91775,0.98821,1.2923,0.0063352,0.0063352,0.0063352
3,2042.34,1.10583,1.37018,1.34284,0.61152,0.30265,0.30673,0.20525,0.97756,1.19828,1.35754,0.00900861,0.00900861,0.00900861
4,2689.08,1.11074,1.281,1.34802,0.64624,0.38687,0.3668,0.26964,0.81454,0.79698,1.20239,0.008515,0.008515,0.008515
5,3347.67,1.01279,1.09081,1.28027,0.66322,0.43049,0.38189,0.29284,0.72161,0.64028,1.12128,0.00802,0.00802,0.00802
6,3998.06,0.94428,0.97634,1.23081,0.68826,0.42679,0.41576,0.31679,0.65323,0.53382,1.05579,0.007525,0.007525,0.007525
7,4651.64,0.90144,0.90336,1.20399,0.72754,0.43222,0.44052,0.34002,0.60788,0.48208,1.02445,0.00703,0.00703,0.00703
8,5302.96,0.85863,0.84414,1.17591,0.7212,0.46316,0.44797,0.34759,0.55764,0.43244,0.98066,0.006535,0.006535,0.006535
9,5940.95,0.82302,0.79701,1.15299,0.72209,0.49266,0.44927,0.35447,0.52366,0.40021,0.95536,0.00604,0.00604,0.00604
10,6583.62,0.79307,0.7534,1.13791,0.72676,0.46044,0.45849,0.36049,0.49916,0.36938,0.94351,0.005545,0.005545,0.005545
11,7200.07,0.62651,0.5509,1.03839,0.74266,0.47927,0.46231,0.36586,0.44981,0.34107,0.91469,0.00505,0.00505,0.00505
12,7816.48,0.58232,0.50516,1.00827,0.57757,0.54151,0.47097,0.37427,0.42323,0.31498,0.89388,0.004555,0.004555,0.004555
13,8434.3,0.55361,0.47535,0.9888,0.44599,0.56556,0.48403,0.38771,0.40036,0.30296,0.87943,0.00406,0.00406,0.00406
14,9053.29,0.52261,0.44911,0.96739,0.6099,0.56809,0.48612,0.39163,0.37701,0.2903,0.87213,0.003565,0.003565,0.003565
